Date,Payment_Method,Trx_id,Account_Product_Level,Product_Name,Sub_Account_Channel_POS_Level,Employee_No,Cashier_Name,POS_number,Total_Excluding_Tax,Tax_Amount,Total_Including_Tax
01-Aug-2025,,20250801_100562,57321,Fazaa - Get Tired Playing,40801,,Amal,POS2,0,0,0
01-Aug-2025,,20250801_100564,57321,Fazaa - Get Tired Playing,40801,,Fatima,POS6,0,0,0
01-Aug-2025,,20250801_100568,57321,Fazaa - Get Tired Playing,40801,,Fatima,POS6,0,0,0
01-Aug-2025,,20250801_100569,57321,Fazaa - Get Tired Playing,40801,,Amal,POS2,0,0,0
01-Aug-2025,,20250801_100574,57321,Fazaa - Get Tired Playing,40801,,Fatima,POS6,0,0,0
01-Aug-2025,,20250801_100584,57321,Fazaa - Get Tired Playing,40801,,Amal,POS3,0,0,0
01-Aug-2025,,20250801_100594,57321,Fazaa - Get Tired Playing,40801,,Abdelmoula,POS4,0,0,0
01-Aug-2025,,20250801_100600,57321,Fazaa - Get Tired Playing,40801,,Fatima,POS6,0,0,0
01-Aug-2025,,20250801_100614,57321,Fazaa - Get Tired Playing,40801,,Glory Mae,POS5,0,0,0
01-Aug-2025,,20250801_100623,57321,Fazaa - Get Tired Playing,40801,,Amal,POS3,0,0,0
01-Aug-2025,,20250801_100634,57321,Fazaa - Get Tired Playing,40801,,Abdelmoula,POS4,0,0,0
01-Aug-2025,,20250801_100640,57321,Fazaa - Get Tired Playing,40801,,Amal,POS3,0,0,0
01-Aug-2025,,20250801_100646,57321,Fazaa - Get Tired Playing,40801,,Amal,POS3,0,0,0
01-Aug-2025,,20250801_100647,57321,Fazaa - Get Tired Playing,40801,,Abdelmoula,POS4,0,0,0
01-Aug-2025,,20250801_100660,57321,Fazaa - Get Tired Playing,40801,,Amal,POS3,0,0,0
01-Aug-2025,,20250801_100677,57321,Fazaa - Get Tired Playing,40801,,Sirjana,POS5,0,0,0
01-Aug-2025,Bank Transfer,20250801_100616,57325,Birthday Package A (Adventure ,40801,,Amal,POS3,1914.29,95.714,2010
01-Aug-2025,Cash,20250801_100558,57311,School Add on  - Karting,40801,,Fatima,POS6,76.19,3.81,80
01-Aug-2025,Cash,20250801_100593,51305,Socks,40801,,Sirjana,POS2,9.524,0.476,10
01-Aug-2025,Cash,20250801_100596,51305,Shoe Rent,40801,,Abdelmoula,POS4,14.286,0.714,15
01-Aug-2025,Cash,20250801_100596,57052,Card Deposit,40801,,Abdelmoula,POS4,4.762,0.238,5
01-Aug-2025,Cash,20250801_100596,57322,Multiplex Karting - ADULTS,40801,,Abdelmoula,POS4,360,18,378
01-Aug-2025,Cash,20250801_100606,51305,Socks,40801,,Amal,POS3,9.524,0.476,10
01-Aug-2025,Cash,20250801_100609,57052,Card Deposit,40801,,Sirjana,POS2,4.762,0.238,5
01-Aug-2025,Cash,20250801_100609,57321,Fazaa - Get Tired Playing,40801,,Sirjana,POS2,0,0,0
01-Aug-2025,Cash,20250801_100609,57322,Multiplex Karting - ADULTS,40801,,Sirjana,POS2,120,6,126
01-Aug-2025,Cash,20250801_100630,57162,100 Credit Top Up - Redemption,40801,,Abdelmoula,POS4,95.238,4.762,100
01-Aug-2025,Cash,20250801_100636,57052,Card Deposit,40801,,Amal,POS3,4.762,0.238,5
01-Aug-2025,Cash,20250801_100636,57322,Multiplex Karting - ADULTS - D,40801,,Amal,POS3,200,10,210
01-Aug-2025,Cash,20250801_100667,57321,Discovery Pass Combo to Kartin,40801,,Abdelmoula,POS4,120.905,6.045,126.95
01-Aug-2025,Cash,20250801_100667,57321,Discovery Pass,40801,,Abdelmoula,POS4,287.619,14.381,302
01-Aug-2025,Cash,20250801_100667,57322,Karting Combo to Discovery Pas,40801,,Abdelmoula,POS4,102.905,5.145,108.05
01-Aug-2025,Cash,20250801_100692,57052,Card Deposit,40801,,Sirjana,POS2,4.762,0.238,5
01-Aug-2025,Cash,20250801_100692,57322,Multiplex Karting - ADULTS,40801,,Sirjana,POS2,480,24,504
01-Aug-2025,Cash,20250801_100693,51305,Shoe Rent,40801,,Sirjana,POS2,42.857,2.143,45
01-Aug-2025,Cash,20250801_100693,51305,Socks,40801,,Sirjana,POS2,28.571,1.429,30
01-Aug-2025,Cash;Payment Link,20250801_100675,35204,F&B La Ballena - 35AED,40801,,Sirjana,POS5,100,5,105
01-Aug-2025,Cash;Payment Link,20250801_100675,35204,F&B Trax - 35AED,40801,,Sirjana,POS5,500,25,525
01-Aug-2025,Cash;Payment Link,20250801_100675,57321,Discovery Pass 20% corporate,40801,,Sirjana,POS5,1937.14,96.857,2034
01-Aug-2025,Credit Card,20250801_100559,51605,Graffiti- School Add-on,40801,,Fatima,POS6,29.524,1.476,31
01-Aug-2025,Credit Card,20250801_100559,51605,Slime - School Add-on,40801,,Fatima,POS6,14.286,0.714,15
01-Aug-2025,Credit Card,20250801_100560,57311,School Add on  - Karting,40801,,Fatima,POS6,76.19,3.81,80
01-Aug-2025,Credit Card,20250801_100561,35204,Daily Summer Camp 250AED,40801,,Fatima,POS6,238.095,11.905,250
01-Aug-2025,Credit Card,20250801_100561,35204,F&B La Ballena - 35AED,40801,,Fatima,POS6,33.333,1.667,35
01-Aug-2025,Credit Card,20250801_100561,57311,School Add on  - Karting,40801,,Fatima,POS6,38.095,1.905,40
01-Aug-2025,Credit Card,20250801_100563,57311,School Add on  - Karting,40801,,Fatima,POS6,76.19,3.81,80
01-Aug-2025,Credit Card,20250801_100565,57052,Card Deposit,40801,,Amal,POS2,4.762,0.238,5
01-Aug-2025,Credit Card,20250801_100565,57162,100 Credit Top Up - Redemption,40801,,Amal,POS2,95.238,4.762,100
01-Aug-2025,Credit Card,20250801_100565,57321,Discovery Pass,40801,,Amal,POS2,143.81,7.19,151
